text,label
Does it cost anything to transfer money for a top-up?,top_up_by_bank_transfer_charge
am suspicious of my card's security,compromised_card
Is there a limit to how much I can top up?,top_up_limits
"My top up hasn't worked, it's been stuck in pending for the last couple hours",pending_top_up
What is your currency exchange fee?,exchange_charge
What is the top up code for?,verify_top_up
Where is my card?,card_arrival
I'm a new customer and tried topping up today for the first time. It's still pending and doesn't seem to be working. I need to get this fixed.,pending_top_up
Who charged me a fee for paying by card?,card_payment_fee_charged
I don't think I made this transaction on my statement,card_payment_not_recognised
"Hello. I have a transaction in my account listed as pending. I tried to use an ATM at the city centre, but the machine declined my card, and I did not receive the money. Why is the transaction still pending if I did not receive the money.",pending_cash_withdrawal
"I finally got my new card and was very excited to use it today. However, my payment kept declining. What is happening?",declined_card_payment
I was getting cash and the card got stuck inside,card_swallowed
How do I add a new card?,card_linking
when will I get my refund?,Refund_not_showing_up
I used my pin too many times.,pin_blocked
How do I get my money back for a duplicated charge?,transaction_charged_twice
Why was a payment cancelled on my account?,reverted_card_payment?
Can I use a credit card from the US to top up?,supported_cards_and_currencies
I am not recognizing a debit payment from my account.,direct_debit_payment_not_recognised
My transfer did not seem to work.,failed_transfer
My card payments have stopped.,reverted_card_payment?
Is there a reason I was charged a fee for using my card as payment? I've never had an extra fee before.,card_payment_fee_charged
How do I transfer funds directly from my credit card?,topping_up_by_card
why verify the top up? it doesnt make sense,verify_top_up
The wrong exchange rate was used when I purchased an item.,card_payment_wrong_exchange_rate
I am having trouble verifying my identity.,unable_to_verify_identity
is there a way i can see source of money?,verify_source_of_funds
Why is there a transaction that shows multiple times?,transaction_charged_twice
How do I activate auto top-up when traveling?,automatic_top_up
Are there topping up fees if I have to transfer?,top_up_by_bank_transfer_charge
"When I withdrew my money, why was there an extra charge?",cash_withdrawal_charge
Am I allowed to change my PIN anywhere?,change_pin
"I thought I was going to get a virtual card but I haven't received it yet, how can we resolve this?",getting_virtual_card
I lost my phone.  What do I do to block someone else from using my account?,lost_or_stolen_phone
It seems my top up is reverted?,top_up_reverted
Where can I find instructions to change my PIN?,change_pin
"If I want to add funds to the account using American Express, how do I do that?",supported_cards_and_currencies
what is the matter?,direct_debit_payment_not_recognised
What currencies are accepted to add money?,supported_cards_and_currencies
What do you use disposable cards on?,get_disposable_virtual_card
Do you have a list of cards and currencies you support?,supported_cards_and_currencies
Can I track the card that you sent me in the mail?,card_arrival
It looks like I was charged twice for a single transaction,transaction_charged_twice
Do you have a tracking number for the card I was sent?,card_arrival
Why isn't my money from a check deposit showing?,balance_not_updated_after_cheque_or_cash_deposit
Can you tell me what this fee is on my statement?,extra_charge_on_statement
"Why did I not get all the money that I asked for? I asked for all the cash in my my account, but I only got about half. Why is that??",wrong_amount_of_cash_received
I think there was an error in your exchange rate.,card_payment_wrong_exchange_rate
What do I do since the machine swallowed my card. I need one.,card_swallowed
WHAT IS THE MAIN REASON OF THIS PROBLEM,card_not_working
the exchange rate I got for cash was wrong,wrong_exchange_rate_for_cash_withdrawal
do i need a pin,get_physical_card
Is there a fee for topping up,top_up_by_card_charge
"I have not received my card and it's been a week, what do I do?",card_arrival
What are all the fiat currencies that are supported for both exchange and holding?,fiat_currency_support
Hello. I checked my transactions and saw I was double charged on my card for a restaurant visit. I would like to get my money back.,transaction_charged_twice
"Someone stole my wallet earlier today, not sure exactly when, probably on Piccadilly circus. Can you check if there were any attempts to use the card and obviously block it?",lost_or_stolen_card
Can I receive my salary in a currency other than what it is deposited in?,receiving_money
My product hasn't arrived even though I ordered it a while ago. I want a refund!,request_refund
What are age requirements for opening an account?,age_limit
My card did not go through in a shop,declined_card_payment
My card expires next week. How do I get a new one?,card_about_to_expire
What are the countries you support.,country_support
I was wondering whether exchanging currencies can be done on this app.,exchange_via_app
How do I link a new card in the app?,card_linking
What currencies can I hold?,fiat_currency_support
Why is my transfer taking so long. I thought it was supposed to only take 1 day if I made a transfer to someone. Can you wee what went wrong?,transfer_not_received_by_recipient
Do I have to do the identity check?,why_verify_identity
Please delete my account and personal information.,terminate_account
I have a pending money transfer,pending_transfer
my check or cash deposit has not shown up,balance_not_updated_after_cheque_or_cash_deposit
There was a problem with the exchange rate on a purchase.,card_payment_wrong_exchange_rate
Why did I get charged when getting cash?,cash_withdrawal_charge
